dob,email,password,fname,lname
1/1/00,test1@gmail.com,password1,Darth,Vader
1/2/00,test2@gmail.com,password2,Obi-Wan,Kenobi
1/3/00,test3@gmail.com,password3,Luke,Skywalker
1/4/00,test4@gmail.com,password4,Anakin,Skywalker
1/5/00,test5@gmail.com,password5,Han,Solo
1/6/00,test6@gmail.com,password6,Ahsoka,Tano
1/7/00,test7@gmail.com,password7,Mace,Windu
1/8/00,test8@gmail.com,password8,Sheev,Palpatine
1/9/00,test9@gmail.com,password9,Padme,Amidala
1/10/00,test10@gmail.com,password10,Kylo,Ren
1/11/00,test11@gmail.com,password11,Qui-Gon,Jinn
1/12/00,test12@gmail.com,password12,Moff,Tarkin
1/13/00,test13@gmail.com,password13,Bail,Organa
1/14/00,test14@gmail.com,password14,Ezra,Bridger
1/15/00,test15@gmail.com,password15,Eno,Cordova
1/16/00,test16@gmail.com,password16,Cal,Kestis
1/17/00,test17@gmail.com,password17,Plo,Koon
1/18/00,test18@gmail.com,password18,Shaak,Ti
